id;name;national_id;gender;birth;phone;created_by;new_patient
382;Timothy Riley;O063174275;FEMALE;2001-12-01;0910379011;system;False
383;Joshua Wagner;A109067646;FEMALE;1941-09-02;0910107997;system;False
384;Donald English;L125396950;OTHER;1951-02-04;0977467239;system;True
385;Tommy Williamson;H316101661;FEMALE;1960-08-15;0930873518;system;False
386;Larry Donaldson;J410105981;OTHER;1986-04-05;0937761081;system;False
387;James Charles;O011337415;FEMALE;2014-02-15;0961907958;system;True
388;Gerald Cummings;F003358600;MALE;2004-08-06;0910374098;system;False
389;Craig Roach;I323458781;OTHER;1990-10-05;0952519851;system;False
390;Kathleen Gaines;M251801010;OTHER;2002-11-19;0930869888;system;False
391;Bethany Bradford;U542604226;MALE;1953-08-11;0947863101;system;True
392;Dylan Greer;Y310787222;OTHER;1990-12-11;0960118175;system;False
393;Daniel Brown;A133155891;MALE;1937-04-13;0938481731;system;True
394;Joseph Smith;A510310459;MALE;1971-03-08;0991007610;system;True
395;Angela Jackson;Y381100467;OTHER;1961-06-14;0910757213;system;False
396;Jason Ortiz;K256238076;FEMALE;1965-12-06;0947491002;system;True
397;Amanda Wright;Y106610254;FEMALE;1936-03-21;0918852205;system;False
398;Robert Martinez;G065102630;MALE;1938-02-03;0910907387;system;False
399;Michael Ray;Z430781003;MALE;1977-02-23;0968351197;system;True
400;Christine Bartlett;P083594851;OTHER;1937-10-17;0961211814;system;False
401;Jordan Wagner;I815910912;FEMALE;1918-01-03;0952066539;system;True
402;Nicole Nelson;G402311631;OTHER;1950-02-04;0909096210;system;False
403;Sherry Kirby;I725094299;FEMALE;2016-03-23;0948466764;system;True
404;Jessica Greene;I133885460;MALE;1903-07-12;0935738610;system;False
405;Lisa Blair DVM;T433101081;MALE;1952-01-24;0983310753;system;True
406;John Patel;H527809603;OTHER;2014-04-08;0943935952;system;False
407;Michael Velez;S610711014;MALE;1977-07-18;0919628242;system;True
408;Katherine Bradley;K932972580;OTHER;1946-01-25;0973891011;system;False
409;Ryan Combs;K724247219;MALE;1983-02-04;0909153710;system;False
410;Joseph Perry;R333310425;OTHER;1967-08-21;0986265153;system;False
411;Joanne Duke;F389458098;FEMALE;1957-06-28;0906197151;system;False
412;Morgan Solis;S553459101;MALE;1905-04-22;0921160837;system;True
413;Adrian Welch;P342710302;FEMALE;2005-02-14;0951023971;system;True
414;Kenneth Bryant;Q021387330;MALE;1958-01-31;0910861281;system;False
415;Robert Arias;S811105160;OTHER;2016-07-08;0991010614;system;False
416;Andrew Mcclure;U701033838;OTHER;1953-08-06;0973378422;system;False
417;Evelyn Golden;I124224307;FEMALE;1988-07-12;0979585212;system;False
418;Tyler Scott;N806661075;MALE;1904-08-15;0962139510;system;False
419;Brooke Choi;X089150156;OTHER;1916-06-19;0944421082;system;True
420;Emily Bryant;E567088439;MALE;1947-11-23;0960445665;system;False
421;Jason Brown;V310428461;FEMALE;1903-05-03;0929799601;system;True
422;Jonathan Nelson;N227610944;MALE;1947-12-29;0931791945;system;False
423;Kathy Banks;Q741032031;OTHER;1961-04-16;0906315706;system;False
424;Eric Castillo;E739731651;OTHER;1917-04-28;0958396571;system;True
425;Amanda Chapman;D937851035;MALE;1919-11-01;0940107222;system;False
426;Mrs. Jessica Martinez;H268769101;OTHER;1929-09-02;0957107477;system;False
427;Tracy Mills;D925417309;MALE;1973-10-25;0990945103;system;True
428;Karen Mitchell;J365788105;OTHER;1982-03-08;0951710363;system;False
429;Jeffrey Thomas;S365150482;MALE;2012-12-01;0966710511;system;True
430;Dr. Gina Dominguez;M414681839;OTHER;1935-01-15;0919981041;system;False
431;Thomas Sexton;X591338605;MALE;1974-03-19;0980439413;system;True
432;Brianna Allen;K178910947;MALE;2001-03-01;0927932867;system;True
433;Ernest Turner;W104314459;FEMALE;1962-06-07;0909193442;system;True
434;Brian Khan;W658602931;MALE;1932-11-08;0923186402;system;False
435;Tyrone Ferguson;G510212461;MALE;2012-08-18;0970041114;system;True
436;Joel Mack;Q047105486;FEMALE;1914-03-09;0951066722;system;False
437;Kevin Ward;X775294156;FEMALE;1923-06-24;0910718591;system;False
438;Lisa Singleton;C482567710;OTHER;1964-03-16;0968010236;system;True
439;Holly Mason;W850013940;FEMALE;2012-10-03;0951408170;system;True
440;Erin Paul;F258691026;MALE;2008-04-26;0903510147;system;True
441;David Smith;F386128248;MALE;2016-11-27;0921110266;system;True
442;Paul Pearson;U762701710;MALE;1958-02-14;0910290118;system;True
443;Diana Hill;M101000855;MALE;1998-10-30;0910298101;system;False
444;Edward Brown;B920610564;OTHER;2002-07-27;0998902473;system;False
445;Jasmine Fisher;G660878410;OTHER;1972-02-03;0956510114;system;False
446;Lauren Meyer;L306018454;OTHER;1999-07-08;0921001018;system;True
447;Robin Baker;P635010196;OTHER;2013-11-03;0951171331;system;True
448;Karen Thomas;C314329082;OTHER;1943-04-26;0950910491;system;False
449;Sherry Brown;K861397110;MALE;1927-12-29;0928828102;system;True
450;Tami Huerta;B810410721;MALE;1961-05-10;0960075376;system;False
451;Vanessa Parks;C337598084;MALE;1910-10-13;0950978860;system;False
452;Justin Osborn;I107431950;MALE;1919-04-21;0931014404;system;True
453;Miss Phyllis Hernandez;D090791671;MALE;1982-08-22;0972251094;system;False
454;Alexis Jones;P236558710;OTHER;2004-04-02;0962661100;system;False
455;Donna Brown;W479910366;OTHER;1997-03-05;0974374389;system;True
456;Sandra Gamble;X210947921;FEMALE;1955-08-30;0971033210;system;True
457;Pamela Burns;V178653103;OTHER;1955-10-21;0972332251;system;True
458;James Martinez;Y060897713;FEMALE;1992-01-27;0922516687;system;False
459;Ashley Taylor;O164825101;FEMALE;2010-10-17;0950984070;system;True
460;Tanya Clark;Q184591395;MALE;1997-06-26;0950710037;system;True
461;Amy Pollard;C543307416;FEMALE;1986-09-10;0901403369;system;False
462;Jerry Hughes;I377456248;OTHER;1930-08-30;0959018107;system;True
463;Gabriel Gonzales;W051061067;OTHER;1905-08-06;0927952311;system;True
464;James Young;D310629606;FEMALE;1954-08-19;0921449010;system;False
465;Matthew Anderson;S110480410;OTHER;2018-04-13;0953176486;system;True
466;Patrick James;B104922324;OTHER;1994-07-13;0905313209;system;True
467;Teresa Dixon;F310710277;MALE;1987-12-31;0956103544;system;True
468;Kimberly King;P793721663;FEMALE;2013-02-06;0953641249;system;True
469;Javier Jacobs;E599607310;FEMALE;1924-11-13;0966261549;system;False
470;Alexis Davis;N801693376;MALE;1972-04-10;0910595420;system;True
471;Katie Newman;Q473206107;MALE;1977-01-02;0907551084;system;True
472;Christopher Wilson;Y302936130;FEMALE;2002-12-23;0917068010;system;False
473;Sheila Ho;J661076021;OTHER;1938-04-17;0908246911;system;False
474;Jose Case;F062916539;MALE;1969-10-18;0989367236;system;False
475;Tammy Johnson;X048037790;FEMALE;1960-06-16;0962001757;system;True
476;Elizabeth Callahan;W103105862;OTHER;1984-08-24;0979641522;system;False
477;Elizabeth Perry;S514910188;MALE;1953-05-05;0994246310;system;True
478;Kristine Lynch;J039100925;OTHER;1932-03-27;0922527024;system;False
479;Nancy Brown;A722031021;OTHER;1992-07-06;0937341078;system;False
480;Casey Bennett;G210240607;FEMALE;1984-01-31;0987947105;system;False
481;Barbara Ramirez;P597304625;MALE;1987-11-06;0998104310;system;True
482;Peter Blair;L881001188;OTHER;1972-08-03;0929869269;system;False
483;Pamela Brown;W984665155;FEMALE;1927-09-30;0973236102;system;True
484;Christopher Lee;I310122440;MALE;1957-10-23;0906003988;system;True
485;Jeff Smith;L457310150;FEMALE;1961-05-06;0999151100;system;True
486;Megan Ali;D156198706;FEMALE;2009-07-09;0910893166;system;False
487;Samantha Powell;M751101013;OTHER;2003-12-06;0924898958;system;False
488;Ryan Walker;J439101210;FEMALE;1917-01-30;0928095055;system;True
489;Jeremy Yates;T121079102;MALE;1959-02-12;0947887157;system;False
490;Kellie Rosario;L031541101;MALE;2014-05-10;0935461090;system;False
491;Connor Smith;E604869375;OTHER;2007-09-22;0945110641;system;False
492;Amy Jackson;G163109739;FEMALE;1952-09-30;0902356803;system;True
493;Isaac Gardner;R428131071;MALE;2006-12-23;0910068785;system;False
494;James Higgins;U358868140;OTHER;1938-05-19;0913361429;system;True
495;Terri Franco;E030998989;MALE;1912-08-20;0911052089;system;True
496;Michelle Owens;N188105610;MALE;1915-04-15;0946336368;system;False
497;Brenda Leonard;N102101010;OTHER;1918-06-07;0967557863;system;False
498;Daniel Wilson;H510597102;FEMALE;1940-08-02;0910298996;system;True
499;Chelsey Lowery;T102652368;OTHER;2008-12-12;0930638951;system;False
500;Ms. Brenda Whitney;S791071549;FEMALE;1956-04-13;0910903074;system;True
501;Christine Mcmahon;Y527528891;MALE;1937-06-04;0927005024;system;True
502;April Maldonado;C286610387;MALE;1987-01-26;0919713905;system;False
503;Anthony Franco;C000984799;MALE;2015-07-21;0910544744;system;False
504;James Garner;Z341002790;MALE;1977-01-22;0997412210;system;False
505;Bruce Booth;H321049729;FEMALE;1904-02-17;0964916300;system;False
506;Ethan Cannon;T109358061;MALE;1916-04-19;0921087656;system;True
507;Tabitha Kelley;C003109559;FEMALE;1990-10-23;0923877619;system;True
508;Holly Thomas;R905109536;FEMALE;1989-06-04;0950908087;system;True
509;Christina Valdez;P415104978;OTHER;1985-04-15;0932649831;system;False
510;Richard White;V250028262;MALE;1909-07-09;0982524104;system;True
511;Jason Alexander;O360610075;OTHER;1913-08-23;0980251199;system;False
512;Richard Robbins;H082074769;FEMALE;1935-10-03;0902993587;system;True
513;Laura Freeman;I991754790;MALE;1976-08-19;0970245028;system;False
514;Holly Montgomery;D281063394;FEMALE;1925-12-19;0944108682;system;False
515;Robert Gentry;R233105481;OTHER;1940-01-07;0935802358;system;True
516;Matthew Nelson;X233509296;MALE;1951-02-22;0910110322;system;False
517;Duane Hunt;E153121019;MALE;1998-01-12;0992504933;system;True
518;Guy Miller;A103339410;MALE;1948-08-30;0971273106;system;True
519;Charles Webb;J501144735;MALE;1957-10-12;0911021045;system;False
520;Jerry Webb;B575877994;MALE;1936-07-08;0910066245;system;True
521;Jennifer Lewis;F034854154;MALE;1926-10-30;0906353101;system;True
522;David Hanna;G931075944;FEMALE;1984-02-01;0910106610;system;True
523;Kevin Anderson;J513023953;MALE;1940-09-22;0951559108;system;False
524;Lisa Simon;A310041012;FEMALE;1973-06-19;0902046810;system;False
525;Jeffrey Jackson;D912835507;FEMALE;1953-11-16;0957101077;system;False
526;Thomas Hansen;G220593141;MALE;1989-08-07;0936573705;system;False
527;Wesley Travis;O032810921;FEMALE;2010-12-23;0910010102;system;True
528;Brandon Parks;C178714246;OTHER;2000-05-14;0961011010;system;True
529;Ashley Foley;S890919987;FEMALE;1998-12-12;0911134238;system;False
530;Mallory French;Q061314394;FEMALE;2017-08-02;0978101001;system;True
531;Emily Hodges;G631054123;OTHER;1954-09-21;0910501037;system;False
532;David Mckenzie;V201035741;OTHER;1990-05-16;0942107617;system;False
533;Deborah Rivera;I297105898;OTHER;2002-10-22;0956515002;system;False
534;Michael Davis;T206974967;FEMALE;1903-06-11;0937159743;system;False
535;Shawn Pena;Y025604106;OTHER;2011-07-17;0910109106;system;False
536;Ronnie Miller;M469310912;OTHER;1956-12-01;0988691310;system;False
537;Jennifer Brown;M890478791;FEMALE;1941-11-28;0975460919;system;False
538;David Martin;N344988770;FEMALE;1969-11-29;0961040109;system;False
539;Jonathan Rodriguez;B110600600;OTHER;1974-11-09;0908262084;system;False
540;Charles Avila;G507801097;FEMALE;2018-09-06;0951671601;system;False
541;David Mcgee;V792310287;MALE;1938-05-31;0948468215;system;True
542;Hector Higgins;L105472640;MALE;1949-09-16;0967098380;system;True
543;Lisa Nguyen;G340589210;OTHER;1911-03-17;0925006598;system;True
544;Courtney Willis;I585141188;OTHER;1936-02-20;0936335851;system;True
545;Cody Campos;S810571080;MALE;1930-04-02;0931414110;system;True
546;Michael Jackson;X107480075;OTHER;1968-04-08;0975769459;system;True
547;Cameron Duncan;Y439564520;FEMALE;1906-03-14;0940482812;system;False
548;Dustin Russell;Q377101741;OTHER;2011-03-13;0907844510;system;False
549;Robert Gonzalez;P030109518;FEMALE;1999-09-06;0910677216;system;True
550;Christian Green;E210118950;FEMALE;1958-04-03;0942953234;system;False
551;James Santos;K212387941;MALE;1981-09-06;0970001920;system;True
552;Kelly Galloway;K591210640;MALE;1903-07-06;0946102289;system;True
553;Eric Johnson;B910396295;MALE;2018-09-03;0987993093;system;True
554;Alicia Hill;N704586701;OTHER;1907-08-26;0986777535;system;False
555;Joshua Mitchell;L733205759;OTHER;1908-05-01;0931168103;system;True
556;Christy Gomez;L106230502;FEMALE;1987-08-27;0961261059;system;False
557;Christian Acosta;C171060152;FEMALE;1906-07-16;0971578793;system;True
558;Angel Smith MD;U970503775;FEMALE;1938-01-31;0939310104;system;False
559;Wesley Cooper;D868581156;MALE;1946-02-26;0975226937;system;False
560;Keith Gay;E102110667;FEMALE;1907-01-22;0933964157;system;False
561;Heather Fields;Q150924517;FEMALE;1923-05-10;0932863372;system;False
562;Nicole Webb;N971072895;FEMALE;1926-11-04;0924568750;system;False
563;Sarah Torres;K283910180;FEMALE;1932-12-29;0949069104;system;True
564;Bryan Mercado;G010727102;OTHER;1967-05-23;0940601090;system;True
565;Blake Ramirez;B101095711;OTHER;1932-06-28;0901081057;system;True
566;Vanessa Alvarado;R889402646;FEMALE;1934-10-22;0971023952;system;False
567;Timothy Hill;G949103266;FEMALE;2001-05-26;0982076480;system;False
568;Kevin Young;Y102884259;OTHER;1997-01-26;0947100169;system;True
569;Jennifer Marquez;X065923125;MALE;1993-09-21;0921648175;system;True
570;Brandon Green;U010362332;MALE;1914-02-16;0948998791;system;False
571;Nicole Perez;H838158422;OTHER;1991-03-27;0991951714;system;False
572;Erin Hill;A424106103;FEMALE;1991-07-12;0945106121;system;False
573;John Knapp;M675210110;MALE;1972-08-22;0902226479;system;False
574;Amanda Wallace;U101090154;OTHER;1935-03-23;0975624310;system;True
575;Alexander Foster;S399029210;FEMALE;1933-07-20;0973481083;system;False
576;Stephanie Brown;E478408110;OTHER;1909-07-05;0911042065;system;True
577;Richard Warren;L451080801;OTHER;2016-04-02;0910353312;system;False
578;Debbie Mayer;E581673110;OTHER;1954-03-05;0972010454;system;True
579;Amber Pacheco;U571746917;MALE;1985-03-25;0926109781;system;False
580;Sean Shea;U669498942;FEMALE;1951-07-04;0994721819;system;True
581;James Anderson;V198145341;OTHER;1959-10-25;0952792194;system;False
582;Karen Bass;O025073420;OTHER;1956-10-10;0946786960;system;False
583;Theresa Perez;G010216223;FEMALE;1963-05-16;0989223726;system;True
584;Jason Richards;A755109171;FEMALE;1984-05-30;0918839329;system;False
585;Larry Jackson;Y310355322;OTHER;1937-12-25;0977116002;system;True
586;Shawn Carter;Z334203736;FEMALE;1905-05-29;0932108923;system;True
587;Heidi Johnson;L987180401;FEMALE;1946-05-17;0932100057;system;False
588;Colleen Harding;Y892935174;FEMALE;1982-09-04;0941470852;system;False
589;Terry Huerta;O108391079;FEMALE;2011-04-23;0903175477;system;True
590;Lee Roman;H310382910;OTHER;1962-05-30;0916541455;system;True
591;Gregg Ford;R968434941;OTHER;1963-06-29;0964685591;system;False
592;Mrs. Kimberly Davis MD;A668577100;MALE;1954-08-30;0942181930;system;False
593;Tim Madden;I582001091;FEMALE;2016-10-15;0968636610;system;False
594;Mark Nelson;A052476410;OTHER;2011-06-20;0923262621;system;False
595;Emily Smith;M896480604;OTHER;2004-08-23;0955918031;system;True
596;Pamela Cunningham;V105952946;MALE;1942-05-30;0988876204;system;True
597;Madison Griffin;H104108155;OTHER;1993-04-11;0910105010;system;True
598;Reginald Roberts;W216996312;FEMALE;1945-01-22;0981380910;system;False
599;Joseph Chambers;A088181045;MALE;1968-12-11;0910610644;system;False
600;Mr. Matthew Johnson;A225410944;MALE;1979-10-31;0978109659;system;True
601;Krystal Mason;N005450535;MALE;1916-02-11;0952010210;system;False
602;Carolyn Allen;Q305105741;OTHER;1987-02-19;0991039379;system;False
603;Anna Burnett;I885518106;MALE;1981-10-26;0961116918;system;False
604;Douglas Miller;I109999611;FEMALE;1952-08-16;0943910051;system;True
605;Abigail Carrillo;A040094873;FEMALE;1944-05-22;0911032063;system;False
606;Robert Miller;F106164071;OTHER;1992-02-27;0910039648;system;False
607;Krista Sampson;I553101293;MALE;1906-01-19;0974218778;system;False
608;Brian Velazquez;G853526449;FEMALE;1932-10-07;0968808839;system;False
609;Michael Campbell;R005330710;MALE;1941-05-25;0910089117;system;False
610;Ethan Pollard;I450274109;OTHER;2018-10-18;0990377333;system;False
611;Laura Miller;H688910642;FEMALE;1972-07-05;0910091091;system;False
612;Abigail Lopez;X261073938;MALE;1980-04-16;0910624837;system;False
613;Pamela Smith;D161088672;MALE;1945-11-26;0932388134;system;False
614;Jessica Brooks;V222201091;FEMALE;1914-10-12;0932102117;system;True
615;Kevin Smith;Y078321955;FEMALE;1962-08-04;0951001810;system;False
616;Dr. Tamara Cisneros MD;J408840594;FEMALE;1981-10-10;0938506178;system;False
617;John Garcia;B751856305;FEMALE;1942-09-17;0901956048;system;True
618;Justin Maldonado;D992681686;OTHER;2013-02-12;0951030238;system;True
619;Sara Wallace;Q103226512;FEMALE;1999-06-17;0935110836;system;True
620;Thomas Webster;H064709102;FEMALE;2002-01-19;0908039627;system;True
621;Carolyn Winters;Q318718227;MALE;1909-08-28;0907633011;system;True
622;Kelsey Carrillo;P100761431;MALE;1918-12-18;0931801034;system;True
623;Richard Flowers;M923571513;MALE;1988-02-11;0957081063;system;False
624;Antonio Mason;F745023130;FEMALE;1915-07-22;0914534733;system;False
625;Teresa Perez;Q246141010;OTHER;1930-04-19;0926461506;system;True
626;Douglas Pitts;H100501091;MALE;1943-11-24;0901032184;system;False
627;Kim Barton;Q745033016;MALE;1941-05-10;0933279356;system;False
628;Jeffrey Hicks;T110249781;MALE;2008-05-24;0951579102;system;False
629;David Payne;A936818910;FEMALE;2004-08-17;0976301070;system;True
630;Christian Smith;P810102494;FEMALE;1903-05-12;0904721059;system;False
631;Tyler Williams;E201344934;MALE;2012-08-18;0931978780;system;False
632;Scott Cruz;B374144310;FEMALE;1910-10-20;0979532942;system;False
633;Michelle Shannon;K012280759;FEMALE;2011-04-13;0984363571;system;False
634;Raymond Lawrence;D023534180;FEMALE;1924-07-30;0903621050;system;False
635;Melissa Kennedy;E110589141;MALE;1908-07-23;0910823741;system;False
636;Joan Evans DVM;W695895238;MALE;2017-03-09;0945481370;system;False
637;Caleb King;R080109101;FEMALE;1962-02-22;0979177137;system;False
638;Joan Baxter;D171556354;FEMALE;2011-01-27;0925418813;system;False
639;Mary Johnson;D582104319;FEMALE;1924-07-04;0985610100;system;False
640;Mark Grimes;S141955017;OTHER;2017-06-19;0910641016;system;False
641;Ronald Copeland;B571451008;OTHER;1937-02-28;0961640221;system;True
642;Melissa Barr;K001944210;OTHER;1956-07-12;0967788213;system;True
643;Mark Sanders;M292588410;OTHER;1967-03-18;0954690417;system;False
644;Robert Jackson;I291010045;MALE;1947-03-21;0915683062;system;True
645;Lee Montgomery;P860291008;FEMALE;2009-01-21;0964919782;system;True
646;Sheena Miller;C852734163;OTHER;1948-06-30;0913441046;system;True
647;Hannah Thomas DDS;K054601366;FEMALE;2011-12-16;0913985286;system;False
648;Dennis Cross;Y902472731;FEMALE;1925-11-07;0986616561;system;False
649;Shawn Thomas;B040345873;MALE;1985-09-27;0911548293;system;True
650;Albert Bartlett;Y245756151;MALE;1975-11-27;0934710073;system;False
651;Melissa Carrillo;D026791051;MALE;1940-04-11;0982769510;system;True
652;Joseph Moore;M905074820;FEMALE;1938-02-19;0990758560;system;True
653;Mark Singh;G791352925;OTHER;1987-07-23;0957103722;system;False
654;Gary Hampton;O447799553;OTHER;2011-08-16;0941028570;system;False
655;Courtney Sullivan;Q604327524;OTHER;1961-09-09;0984930010;system;False
656;Christopher Murphy;E105268669;MALE;1994-01-27;0935389310;system;False
657;Marcus Maldonado;E185032323;MALE;1973-08-08;0978810010;system;True
658;Cory Howard;Q510050102;FEMALE;1940-05-24;0910107656;system;False
659;Lauren White;S213031039;FEMALE;2004-01-22;0946106881;system;False
660;Joshua Mcdaniel;F960423244;MALE;1967-04-27;0907857890;system;True
661;Cynthia Hunt;K106967929;MALE;2008-05-18;0951109970;system;True
662;Daniel Brown;A270810451;OTHER;1907-01-15;0956374951;system;True
663;Adam Davies;Z396051432;OTHER;1904-06-11;0925263410;system;True
664;Steven Reyes;E101041087;FEMALE;1928-12-25;0937107861;system;False
665;Micheal Jones;H782710910;OTHER;1911-01-20;0941104004;system;False
666;Maria York;B071680586;MALE;1993-05-10;0944771083;system;False
667;Nathan Moore;W197477726;OTHER;1930-03-27;0925639961;system;True
668;Tara Padilla;F943104108;FEMALE;2016-06-29;0995839455;system;True
669;Brittney Miller;V128891108;FEMALE;1977-01-16;0910102013;system;True
670;Scott Norris;Q394524825;OTHER;1969-05-21;0984511422;system;True
671;Angela Ruiz;O781010959;FEMALE;1936-01-10;0918448195;system;False
672;Anita Flores;K742951029;FEMALE;2003-04-28;0911569011;system;True
673;Michelle May;W837650487;OTHER;1966-05-05;0969730318;system;True
674;Jennifer Chavez;O786910476;MALE;1968-07-08;0919961528;system;False
675;Patrick Anderson;X875106793;MALE;1958-03-25;0918916103;system;True
676;Tiffany Long;G310850101;FEMALE;1937-12-24;0937537252;system;True
677;Carolyn Garcia;I712406307;OTHER;1995-03-28;0957915362;system;False
678;Angela Woods;B066728738;FEMALE;1925-03-08;0941021439;system;False
679;Kyle Wright;G858930300;FEMALE;1952-08-14;0925932953;system;True
680;Brian Stein;L607308961;OTHER;1926-03-15;0908450902;system;False
681;Terry Douglas;V387778868;OTHER;1917-03-16;0995754901;system;True
682;Colton Cannon;K931051062;FEMALE;2014-02-07;0947829539;system;False
683;Miss Deborah Mcgee;P812849108;FEMALE;1987-11-16;0919810223;system;False
684;Patrick Jacobs;A102728835;FEMALE;1922-04-29;0936961279;system;True
685;Michael Strickland DDS;R777850868;FEMALE;2013-04-10;0958810280;system;True
686;Trevor Kennedy;A825454348;OTHER;1971-01-31;0910679635;system;False
687;Richard Fleming;U567110210;OTHER;2009-08-24;0964954197;system;False
688;Maureen Shaffer;N105526101;OTHER;1925-04-13;0932374548;system;True
689;Krystal Bowen;M551199478;FEMALE;1953-03-05;0923110935;system;False
690;Anthony Foster;Y923674344;FEMALE;1999-12-07;0908241010;system;False
691;Amber Richardson;G185509218;OTHER;1944-06-16;0911089746;system;False
692;Tyler Holt;H910168883;FEMALE;1983-04-24;0905915832;system;True
693;Sharon Hernandez;I107344025;FEMALE;1903-01-30;0935574484;system;False
694;Annette Walker;B956929110;OTHER;1988-03-09;0951884957;system;False
695;Jeanette Brown;Z485823071;OTHER;1974-04-27;0928311175;system;True
696;Michael Johnson;Y681908094;MALE;1908-11-15;0993225210;system;True
697;Robert Brown;Z431098413;OTHER;2001-07-05;0996711070;system;True
698;Scott Keller;O060259658;OTHER;1996-10-14;0971001478;system;False
699;Philip Long;D862610102;FEMALE;1925-03-22;0942945979;system;False
700;Henry Ritter;X301064916;FEMALE;1915-07-04;0977301893;system;True
701;Michael Morton;W108366104;FEMALE;1920-11-22;0933451835;system;True
702;Brent Frazier;G980346069;MALE;1980-10-12;0966309238;system;False
703;Sean Vang;I610511841;MALE;1961-12-14;0925651043;system;False
704;Dana Andrade;W710264119;MALE;1953-04-20;0919639993;system;True
705;Bruce Williams;C610100014;FEMALE;1926-04-03;0997857011;system;False
706;Tonya Washington;A991109100;OTHER;1911-11-24;0923109367;system;True
707;Timothy Blanchard;M913034101;FEMALE;1982-12-22;0910857883;system;False
708;Nicholas Williams;U310326979;FEMALE;1936-05-25;0938271110;system;True
709;Michael Alexander;S268523471;OTHER;2006-07-05;0951061096;system;True
710;Ashley Wells;G513188716;MALE;1974-10-04;0981823397;system;True
711;Joseph Fleming;D512546101;MALE;1938-12-02;0949789677;system;False
712;Mike Carlson;Y998610443;MALE;1996-06-25;0916810400;system;True
713;Ricky Wright;Y444444845;OTHER;1928-03-24;0923810710;system;True
714;Phillip Rogers;P067128733;OTHER;1998-06-15;0952679123;system;True
715;David Hall;W524553864;FEMALE;1933-07-18;0972611886;system;True
716;Cody Smith;Z442210573;FEMALE;1918-09-12;0926032274;system;False
717;Mark Griffin;Z507910112;MALE;1975-05-26;0971025106;system;True
718;Samuel Moran;S176093817;OTHER;1940-04-16;0966103824;system;True
719;Joanna Jones;Y100527366;MALE;2018-01-13;0966610838;system;True
720;Allison Gomez;S610410079;OTHER;1958-05-31;0985852110;system;False
721;Heather Atkinson;T110010107;OTHER;1948-04-09;0930788523;system;True
722;Jason Smith;P949281007;FEMALE;1927-05-23;0976269171;system;False
723;William Jackson;K162710106;MALE;1993-03-21;0914105406;system;False
724;Jennifer Munoz;V034381145;MALE;1934-02-08;0910801879;system;False
725;Vanessa Phelps;F862078170;MALE;1914-03-01;0972067250;system;True
726;Denise Oneill;N805782973;FEMALE;1988-03-23;0903103100;system;False
727;Douglas Miller;W927213924;OTHER;1968-12-19;0984668510;system;True
728;Christy Johnson;R107854168;OTHER;1922-10-29;0969610637;system;False
729;Kimberly Washington;K917529723;FEMALE;1919-04-17;0964643390;system;True
730;Jack Dean;Q799460261;MALE;1928-08-13;0916611281;system;True
731;Elizabeth Johnson;A102590793;OTHER;1937-11-03;0976318318;system;True
732;Nancy Estrada;D133729141;FEMALE;1985-02-20;0910710821;system;False
733;Mary Wood;V921964265;OTHER;1908-03-21;0962104532;system;True
734;Jacob Potter;F100614811;OTHER;1907-01-18;0918773108;system;True
735;Alejandro Andrews;T984492560;OTHER;1956-05-05;0944598106;system;True
736;Eric Rocha;L066210109;OTHER;2006-12-24;0970045410;system;True
737;John Martinez;R257710349;FEMALE;1937-05-05;0978513104;system;True
738;Dylan Lopez;O313042793;MALE;1954-09-13;0922101105;system;False
739;Teresa Brown;E350538432;FEMALE;1988-04-09;0976566102;system;False
740;Lacey Potts;L882662660;FEMALE;1919-11-08;0920125436;system;False
741;Jacob Johnson;D525909500;FEMALE;1929-01-28;0910121070;system;True
742;Julie Jones;D588462587;FEMALE;1910-10-26;0959610101;system;False
743;Rebecca Griffin;X931009110;OTHER;2005-07-20;0901031071;system;False
744;Amy York;B929026094;FEMALE;1984-02-07;0935692348;system;False
745;Ashley Johnson;F411041310;FEMALE;1962-03-25;0972912926;system;False
746;Andrew Griffith;C910811058;MALE;1919-01-01;0921062095;system;False
747;Larry Lutz;C517074801;MALE;1983-07-02;0992210710;system;True
748;Maria Logan;G291038797;FEMALE;1921-09-13;0957443310;system;True
749;Dr. Jill Cross MD;F588281074;OTHER;1971-10-05;0994645129;system;False
750;Sandra Parker;B785107185;FEMALE;1948-08-25;0917231091;system;False
751;Zachary Thomas;M094485885;MALE;1962-04-24;0948228910;system;False
752;Stacy Mosley;O010547605;OTHER;1933-06-07;0929904183;system;False
753;Kristy Copeland;F811082574;OTHER;2016-07-01;0925455207;system;False
754;Jessica Fisher;L753191323;MALE;1996-08-02;0978581072;system;False
755;Jenna Johnson;V965115298;MALE;1987-12-07;0910860716;system;False
756;Samuel Grant;I909763081;OTHER;1903-02-25;0998219756;system;False
757;Stephanie Hunt;T107608455;MALE;1927-06-23;0971087921;system;False
758;Jeffrey Blake;U547111038;MALE;1920-05-28;0972966391;system;True
759;Amber Williams;R901310209;OTHER;1953-10-27;0960515910;system;False
760;Jose Shelton;F143154213;MALE;1967-02-12;0910626571;system;True
761;Christopher Romero DDS;Q010161011;FEMALE;1983-10-01;0969531071;system;True
762;Mr. William Baker Jr.;O320044288;MALE;2004-11-24;0922859031;system;True
763;Mary Smith;C481910939;MALE;1998-12-10;0961647834;system;True
